,0
0,<class 'object'>
1,И как это должно помочь остановить [Роскомнадзор]?
2,"Вы не понимаете, это свободная Америка где царит демократия!!!!"
3,Хьюстон у нас проблемы🤣
4,Русским доллары ни к чему!
5,Да ниче из России кешем будут засылать
6,"Мы воюем с США и НАТО!""
""Они незаконно блокируют наши счета"".
Эти две мысли как-то умещаются в головах одних и тех же людей."
7,"А что, рублями не принимают что ли???"
8,"Что там делают наши, пора оттуда было уже сто раз уехать

Все равно разговаривать с этими пидорами не о чем"
9,"[id654820|Антон], такой цели и не стояло. Просто страны выражают своё презрение и стараются ограничить контакты с орками, ведь деда всё равно не остановить мирными методами"
10,"[id155404424|Ruslan], напомни, сколько американских президентов сменилось за последние 20 лет?"
11,"[id155404424|Ruslan], демократия не равно вседозволенность"
12,"[id194870653|Денис], смена президента=смена политики?"
13,"[id11875095|Сергей], напомни, как сильно изменилась политика США за последние 20 лет?"
14,"[id155404424|Ruslan], касаемо свобод человека - конкретно. Про Россию так можно сказать?"
15,"[id11875095|Сергей], а где есть свобода человека в полном её понимании?"
16,"[id8160799|Александр], в Северной Корее, к которой вы стремитесь"
17,"[id11875095|Сергей], даа, особенно после истории с Флойдом так правами человека завеяло, что прям хочется чтобы и у нас также было"
18,"[id155404424|Ruslan], про пытки в тюрьмах напомнить? Или об этом неудобно говорить?"
19,"[id11875095|Sergey], кто эти вы, которые туда стремятся ,в любой стране нет никаких свобод, о которых вы все говорите ,ни в одной стране мира нельзя пойти против гос. повестки"
20,Это импорто замещения
21,"Для чумазых это норма, они к лотку не приучены"
